symbol,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,position_size,pnl,exit_reason,phase,range_id,partial_exited,original_risk,inv_price,stop_price
EUR/USD,2024-05-21 19:00:00,2024-05-21 23:00:00,long,1.08575,1.0862408685684208,1.0857763290405271,305580.779968442,150.0000000000339,TP1_50%,Model-1,9,False,0.0003272457122804884,1.0854227542877195,1.0854227542877195
EUR/USD,2024-05-21 23:00:00,2024-05-21 23:00:00,long,1.0858,1.0858355064392096,1.0857763290405271,4224585.831181124,149.99999999999997,TP1_50%,KOD,9,False,2.3670959472976705e-05,1.0857763290405271,1.0857763290405271
EUR/USD,2024-05-21 23:00:00,2024-05-21 23:00:00,long,1.0858,1.085847341918946,1.0858,4224585.831181124,199.99999999999997,TP2,KOD,9,True,2.3670959472976705e-05,1.0857763290405271,1.0857763290405271
EUR/USD,2024-05-21 19:00:00,2024-05-22 03:00:00,long,1.08575,1.086404491424561,1.08575,305580.779968442,199.99999999999997,TP2,Model-1,9,True,0.0003272457122804884,1.0854227542877195,1.0854227542877195
EUR/USD,2024-05-22 03:30:00,2024-05-22 03:00:00,long,1.08582,1.0862390215873718,1.0855406522750854,375875.6225135388,157.5000000000005,TP1_50%,KOD,3,False,0.00027934772491455817,1.0855406522750854,1.0855406522750854
EUR/USD,2024-05-22 03:30:00,2024-05-22 03:00:00,long,1.08582,1.0863786954498291,1.08582,375875.6225135388,210.00000000000068,TP2,KOD,3,True,0.00027934772491455817,1.0855406522750854,1.0855406522750854
EUR/USD,2024-05-23 15:00:00,2024-05-24 07:00:00,short,1.08067,1.0833063125610352,1.0833063125610352,83961.97145648336,-221.35000000000068,SL,KOD,21,False,0.0026363125610351368,1.0833063125610352,1.0833063125610352
EUR/USD,2024-05-22 07:00:00,2024-05-27 07:00:00,short,1.08316,1.0866022109985352,1.0866022109985352,64304.59960013797,-221.3500000000007,SL,KOD,8,False,0.0034422109985352556,1.0866022109985352,1.0866022109985352
EUR/USD,2024-05-24 07:00:00,2024-05-27 07:00:00,long,1.08353,1.086150773239136,1.0817828178405762,63344.854686755316,166.01250000000053,TP1_50%,KOD,22,False,0.0017471821594239323,1.0817828178405762,1.0817828178405762
EUR/USD,2024-05-24 07:00:00,2024-05-27 23:00:00,long,1.08353,1.087024364318848,1.08353,63344.854686755316,221.3500000000007,TP2,KOD,22,True,0.0017471821594239323,1.0817828178405762,1.0817828178405762
EUR/USD,2024-05-27 15:00:00,2024-05-27 23:00:00,short,1.08585,1.0866022109985352,1.0866022109985352,286909.1922615764,-215.81625000000074,SL,KOD,27,False,0.0007522109985351744,1.0866022109985352,1.0866022109985352
EUR/USD,2024-05-28 23:00:00,2024-05-29 11:00:00,short,1.08466,1.0826316336631774,1.0860122442245483,79840.20973434558,161.94519375000053,TP1_50%,KOD,36,False,0.0013522442245483823,1.0860122442245483,1.0860122442245483
EUR/USD,2024-05-28 23:00:00,2024-05-29 11:00:00,short,1.08466,1.0819555115509032,1.08466,79840.20973434558,215.9269250000007,TP2,KOD,36,True,0.0013522442245483823,1.0860122442245483,1.0860122442245483
EUR/USD,2024-05-30 07:00:00,2024-05-30 11:00:00,long,1.08145,1.0841043357849123,1.0796804428100586,63146.9750300633,167.61327553125759,TP1_50%,Model-1,44,False,0.0017695571899414286,1.0796804428100586,1.0796804428100586
EUR/USD,2024-05-30 07:00:00,2024-05-31 07:00:00,long,1.08145,1.0849891143798829,1.08145,63146.9750300633,223.48436737500074,TP2,Model-1,44,True,0.0017695571899414286,1.0796804428100586,1.0796804428100586
EUR/USD,2024-05-30 23:00:00,2024-05-31 07:00:00,short,1.08141,1.0836584568023682,1.0836584568023682,100885.47516087956,-226.83663288562587,SL,KOD,49,False,0.0022484568023681817,1.0836584568023682,1.0836584568023682
EUR/USD,2024-05-29 11:00:00,2024-06-03 11:00:00,short,1.08133,1.086130142211914,1.086130142211914,44983.44329550503,-215.9269250000007,SL,KOD,41,False,0.00480014221191416,1.086130142211914,1.086130142211914
EUR/USD,2024-05-31 15:00:00,2024-06-03 11:00:00,short,1.08419,1.086130142211914,1.086130142211914,116882.97186817587,-226.76958757541337,SL,KOD,51,False,0.0019401422119140754,1.086130142211914,1.086130142211914
EUR/USD,2024-06-03 07:00:00,2024-06-03 11:00:00,short,1.08407,1.086130142211914,1.086130142211914,110074.72506702985,-226.76958757541337,SL,Breaker,51,False,0.0020601422119139734,1.086130142211914,1.086130142211914
