datetime,open,high,low,close
2016-01-03 00:00:00,1.08701,1.08834,1.08272,1.08793
2016-01-04 00:00:00,1.08794,1.09464,1.07811,1.08226
2016-01-05 00:00:00,1.08227,1.08365,1.07106,1.07492
2016-01-06 00:00:00,1.07492,1.08255,1.07185,1.08234
2016-01-07 00:00:00,1.08239,1.09401,1.0771,1.08742
2016-01-08 00:00:00,1.08743,1.093,1.0803,1.09218
2016-01-10 00:00:00,1.0917,1.09698,1.0908,1.09138
2016-01-11 00:00:00,1.09135,1.09337,1.08411,1.08821
2016-01-12 00:00:00,1.08821,1.09001,1.0811,1.08278
2016-01-13 00:00:00,1.08276,1.08966,1.08048,1.08915
2016-01-14 00:00:00,1.08915,1.0943,1.08345,1.08829
2016-01-15 00:00:00,1.0883,1.09845,1.08608,1.09139
2016-01-17 00:00:00,1.09228,1.09272,1.0887,1.0896
2016-01-18 00:00:00,1.08958,1.09093,1.08687,1.08878
2016-01-19 00:00:00,1.08878,1.09549,1.08592,1.09538
2016-01-20 00:00:00,1.09537,1.09758,1.08671,1.08907
2016-01-21 00:00:00,1.08906,1.0921,1.07777,1.08342
2016-01-22 00:00:00,1.08342,1.08628,1.07891,1.07954
2016-01-24 00:00:00,1.07913,1.0817,1.07882,1.0811
2016-01-25 00:00:00,1.08111,1.08593,1.08059,1.08512
2016-01-26 00:00:00,1.08511,1.08744,1.08186,1.08601
2016-01-27 00:00:00,1.08599,1.09163,1.08527,1.08843
2016-01-28 00:00:00,1.08842,1.09675,1.08696,1.09286
2016-01-29 00:00:00,1.09286,1.09286,1.08099,1.0828
2016-01-31 00:00:00,1.08302,1.08523,1.08149,1.08479
2016-02-01 00:00:00,1.08481,1.09189,1.08409,1.09154
2016-02-02 00:00:00,1.09152,1.09398,1.08923,1.0914
2016-02-03 00:00:00,1.09141,1.11454,1.09036,1.10873
2016-02-04 00:00:00,1.10873,1.12392,1.10695,1.11956
2016-02-05 00:00:00,1.11955,1.12449,1.11088,1.11541
2016-02-07 00:00:00,1.11408,1.11497,1.11282,1.11321
2016-02-08 00:00:00,1.11321,1.12375,1.10864,1.12083
2016-02-09 00:00:00,1.12083,1.13381,1.11623,1.1294
2016-02-10 00:00:00,1.12938,1.13201,1.11602,1.12926
2016-02-11 00:00:00,1.12925,1.13765,1.12749,1.12974
2016-02-12 00:00:00,1.12975,1.13248,1.1214,1.1253
2016-02-14 00:00:00,1.12346,1.12497,1.12126,1.12219
2016-02-15 00:00:00,1.1222,1.12295,1.11278,1.11519
2016-02-16 00:00:00,1.1152,1.1193,1.11186,1.11679
2016-02-17 00:00:00,1.1168,1.11789,1.11058,1.11376
2016-02-18 00:00:00,1.11376,1.11495,1.10709,1.11259
2016-02-19 00:00:00,1.1126,1.11394,1.10667,1.11273
2016-02-21 00:00:00,1.11089,1.11244,1.11039,1.11091
2016-02-22 00:00:00,1.11092,1.11189,1.1003,1.10432
2016-02-23 00:00:00,1.10432,1.10525,1.099,1.10161
2016-02-24 00:00:00,1.10161,1.10462,1.09572,1.10316
2016-02-25 00:00:00,1.10316,1.10682,1.09866,1.10605
2016-02-26 00:00:00,1.10603,1.10665,1.09116,1.09292
2016-02-28 00:00:00,1.0912,1.09377,1.09115,1.09338
2016-02-29 00:00:00,1.09338,1.09624,1.08593,1.08816
2016-03-01 00:00:00,1.08816,1.08936,1.08341,1.08579
2016-03-02 00:00:00,1.08581,1.08758,1.08254,1.08586
2016-03-03 00:00:00,1.08588,1.09728,1.08535,1.09462
2016-03-04 00:00:00,1.0946,1.10435,1.09031,1.10028
2016-03-06 00:00:00,1.09884,1.09973,1.09837,1.09898
2016-03-07 00:00:00,1.09898,1.10285,1.094,1.10155
2016-03-08 00:00:00,1.10155,1.10579,1.09673,1.09731
2016-03-09 00:00:00,1.09732,1.10348,1.0946,1.09766
2016-03-10 00:00:00,1.09765,1.12179,1.08221,1.11676
2016-03-11 00:00:00,1.11676,1.11933,1.10803,1.11537
2016-03-13 00:00:00,1.11372,1.11757,1.11354,1.11578
2016-03-14 00:00:00,1.11579,1.11665,1.10778,1.11098
2016-03-15 00:00:00,1.11097,1.11249,1.10721,1.11009
2016-03-16 00:00:00,1.11009,1.12427,1.10578,1.1222
2016-03-17 00:00:00,1.12221,1.13425,1.12163,1.1319
2016-03-18 00:00:00,1.1319,1.13203,1.12559,1.12693
2016-03-20 00:00:00,1.12637,1.12847,1.12576,1.12723
2016-03-21 00:00:00,1.12722,1.12845,1.12295,1.1259
2016-03-22 00:00:00,1.12589,1.12601,1.11881,1.12107
2016-03-23 00:00:00,1.12108,1.12108,1.11593,1.11762
2016-03-24 00:00:00,1.11762,1.11875,1.11442,1.11596
2016-03-25 00:00:00,1.11597,1.11755,1.1156,1.11622
2016-03-27 00:00:00,1.11604,1.11661,1.11528,1.11631
2016-03-28 00:00:00,1.11631,1.122,1.11575,1.1195
2016-03-29 00:00:00,1.1195,1.13033,1.11688,1.12918
2016-03-30 00:00:00,1.12918,1.13651,1.12912,1.13146
2016-03-31 00:00:00,1.13144,1.14119,1.13101,1.13776
2016-04-01 00:00:00,1.13776,1.14378,1.13347,1.1394
2016-04-03 00:00:00,1.14,1.14126,1.13866,1.13872
2016-04-04 00:00:00,1.13873,1.14095,1.13573,1.13958
2016-04-05 00:00:00,1.13958,1.14011,1.13359,1.13668
2016-04-06 00:00:00,1.13668,1.14315,1.13267,1.13969
2016-04-07 00:00:00,1.13968,1.14538,1.13376,1.13668
2016-04-08 00:00:00,1.13668,1.14193,1.13489,1.13919
2016-04-10 00:00:00,1.1413,1.14258,1.13951,1.14116
2016-04-11 00:00:00,1.1412,1.14472,1.13721,1.14053
2016-04-12 00:00:00,1.14052,1.14648,1.13458,1.13696
2016-04-13 00:00:00,1.13694,1.13713,1.12539,1.1266
2016-04-14 00:00:00,1.12658,1.12946,1.12337,1.12619
2016-04-15 00:00:00,1.12618,1.1317,1.12458,1.12834
2016-04-17 00:00:00,1.13008,1.1307,1.12763,1.12834
2016-04-18 00:00:00,1.12839,1.1332,1.12736,1.13229
2016-04-19 00:00:00,1.13227,1.13845,1.1315,1.13628
2016-04-20 00:00:00,1.13627,1.13877,1.12869,1.12956
2016-04-21 00:00:00,1.12954,1.13987,1.12696,1.13009
2016-04-22 00:00:00,1.1301,1.13052,1.12177,1.12177
2016-04-24 00:00:00,1.12177,1.12469,1.12177,1.12441
2016-04-25 00:00:00,1.12442,1.12781,1.1231,1.12698
2016-04-26 00:00:00,1.12696,1.13397,1.12562,1.13045
2016-04-27 00:00:00,1.13044,1.13611,1.12714,1.1328
2016-04-28 00:00:00,1.13281,1.13889,1.13104,1.13838
2016-04-29 00:00:00,1.13841,1.14593,1.13698,1.14509
2016-05-01 00:00:00,1.14596,1.14814,1.14528,1.14669
2016-05-02 00:00:00,1.14668,1.15417,1.14481,1.15316
2016-05-03 00:00:00,1.15316,1.1616,1.14766,1.14803
2016-05-04 00:00:00,1.14804,1.15292,1.14664,1.14879
2016-05-05 00:00:00,1.1488,1.14936,1.1386,1.14021
2016-05-06 00:00:00,1.14022,1.14787,1.13866,1.14034
2016-05-08 00:00:00,1.13959,1.14049,1.138,1.14016
2016-05-09 00:00:00,1.14016,1.14197,1.13707,1.13793
2016-05-10 00:00:00,1.13792,1.14097,1.13586,1.13837
2016-05-11 00:00:00,1.13837,1.14465,1.13797,1.14224
2016-05-12 00:00:00,1.14222,1.14274,1.13666,1.13742
2016-05-13 00:00:00,1.13743,1.13765,1.12829,1.13081
2016-05-15 00:00:00,1.13114,1.13196,1.13019,1.13068
2016-05-16 00:00:00,1.13069,1.13422,1.13063,1.1318
2016-05-17 00:00:00,1.1318,1.13482,1.12843,1.1287
2016-05-18 00:00:00,1.12871,1.12927,1.12142,1.12217
2016-05-19 00:00:00,1.12217,1.12298,1.11799,1.12062
2016-05-20 00:00:00,1.12069,1.1237,1.12004,1.12226
2016-05-22 00:00:00,1.1206,1.12428,1.1206,1.12361
2016-05-23 00:00:00,1.12362,1.12392,1.11875,1.12068
2016-05-24 00:00:00,1.12069,1.12268,1.11325,1.11563
2016-05-25 00:00:00,1.11563,1.11866,1.11288,1.11811
2016-05-26 00:00:00,1.11812,1.12166,1.1159,1.11884
2016-05-27 00:00:00,1.11883,1.12006,1.11103,1.11108
2016-05-29 00:00:00,1.11127,1.11155,1.10977,1.11036
2016-05-30 00:00:00,1.11036,1.11545,1.11005,1.11506
2016-05-31 00:00:00,1.11504,1.11733,1.11141,1.11237
2016-06-01 00:00:00,1.11234,1.12136,1.11162,1.12087
2016-06-02 00:00:00,1.12089,1.12202,1.11421,1.11562
2016-06-03 00:00:00,1.11562,1.13737,1.11367,1.13664
2016-06-05 00:00:00,1.13538,1.13722,1.13366,1.13396
2016-06-06 00:00:00,1.13396,1.13925,1.13257,1.13553
2016-06-07 00:00:00,1.13553,1.13803,1.13388,1.13648
2016-06-08 00:00:00,1.13648,1.14155,1.13612,1.14033
2016-06-09 00:00:00,1.14034,1.14068,1.1292,1.12986
2016-06-10 00:00:00,1.12986,1.13213,1.12453,1.12486
2016-06-12 00:00:00,1.12488,1.12553,1.12321,1.12524
2016-06-13 00:00:00,1.12526,1.13028,1.12375,1.12935
2016-06-14 00:00:00,1.12934,1.12947,1.11889,1.12085
2016-06-15 00:00:00,1.12085,1.12985,1.1198,1.12639
2016-06-16 00:00:00,1.12639,1.12948,1.11308,1.12582
2016-06-17 00:00:00,1.12582,1.12962,1.12227,1.12744
2016-06-19 00:00:00,1.13291,1.13779,1.13084,1.13741
2016-06-20 00:00:00,1.1374,1.13826,1.13021,1.13295
2016-06-21 00:00:00,1.13296,1.13494,1.12366,1.12679
2016-06-22 00:00:00,1.12675,1.135,1.12536,1.1345
2016-06-23 00:00:00,1.13451,1.14283,1.09116,1.09716
2016-06-24 00:00:00,1.0974,1.1189,1.09351,1.11162
2016-06-26 00:00:00,1.1007,1.10752,1.09841,1.10287
2016-06-27 00:00:00,1.10289,1.10835,1.09706,1.10564
2016-06-28 00:00:00,1.10565,1.11116,1.10347,1.10671
2016-06-29 00:00:00,1.1067,1.11305,1.10516,1.11031
2016-06-30 00:00:00,1.11032,1.11542,1.10243,1.10903
2016-07-01 00:00:00,1.10902,1.11694,1.10719,1.11338
2016-07-03 00:00:00,1.11312,1.11443,1.11249,1.11376
2016-07-04 00:00:00,1.11376,1.11594,1.10977,1.11326
2016-07-05 00:00:00,1.11326,1.11851,1.1036,1.10518
2016-07-06 00:00:00,1.10519,1.11116,1.1029,1.10961
2016-07-07 00:00:00,1.10962,1.1107,1.10523,1.10813
2016-07-08 00:00:00,1.10815,1.11202,1.10019,1.10518
2016-07-10 00:00:00,1.10475,1.10555,1.10338,1.1054
2016-07-11 00:00:00,1.10541,1.10909,1.10157,1.10774
2016-07-12 00:00:00,1.10774,1.11258,1.10533,1.10616
2016-07-13 00:00:00,1.10618,1.11198,1.10417,1.11046
2016-07-14 00:00:00,1.11048,1.11647,1.10885,1.11305
2016-07-15 00:00:00,1.11305,1.11488,1.10241,1.10279
2016-07-17 00:00:00,1.10469,1.10712,1.10445,1.1064
2016-07-18 00:00:00,1.10641,1.10841,1.10374,1.10781
2016-07-19 00:00:00,1.10782,1.10783,1.09973,1.10113
2016-07-20 00:00:00,1.10114,1.10439,1.09814,1.10362
2016-07-21 00:00:00,1.10362,1.10595,1.09795,1.10241
2016-07-22 00:00:00,1.10242,1.10408,1.09555,1.09729
2016-07-24 00:00:00,1.09725,1.09752,1.09519,1.09721
2016-07-25 00:00:00,1.09719,1.09987,1.09607,1.09875
2016-07-26 00:00:00,1.09874,1.10296,1.09781,1.09979
2016-07-27 00:00:00,1.09982,1.10767,1.09611,1.10728
2016-07-28 00:00:00,1.10728,1.11193,1.10638,1.10906
2016-07-29 00:00:00,1.10905,1.11972,1.10739,1.11737
2016-07-31 00:00:00,1.11725,1.11832,1.11655,1.11782
2016-08-01 00:00:00,1.11781,1.11812,1.1155,1.1172
2016-08-02 00:00:00,1.11718,1.12337,1.11705,1.12124
2016-08-03 00:00:00,1.12126,1.1217,1.11353,1.11445
2016-08-04 00:00:00,1.11444,1.11486,1.11139,1.11343
2016-08-05 00:00:00,1.11342,1.11612,1.10458,1.1085
2016-08-07 00:00:00,1.10785,1.11037,1.10785,1.1103
2016-08-08 00:00:00,1.11031,1.11049,1.10704,1.10851
2016-08-09 00:00:00,1.10851,1.1156,1.10709,1.11501
2016-08-10 00:00:00,1.11503,1.11918,1.11386,1.11684
2016-08-11 00:00:00,1.11686,1.1182,1.11312,1.11405
2016-08-12 00:00:00,1.11402,1.12212,1.11346,1.1161
2016-08-14 00:00:00,1.11673,1.11682,1.11533,1.11582
2016-08-15 00:00:00,1.11582,1.12036,1.11564,1.11952
2016-08-16 00:00:00,1.11953,1.13224,1.11922,1.12734
2016-08-17 00:00:00,1.12734,1.13285,1.12405,1.13124
2016-08-18 00:00:00,1.13122,1.13662,1.13014,1.13331
2016-08-19 00:00:00,1.1333,1.13486,1.1304,1.13228
2016-08-21 00:00:00,1.13071,1.13225,1.12709,1.12766
2016-08-22 00:00:00,1.12767,1.13369,1.1272,1.13296
2016-08-23 00:00:00,1.13297,1.1355,1.12933,1.13001
2016-08-24 00:00:00,1.13,1.13054,1.12451,1.12704
2016-08-25 00:00:00,1.12703,1.12973,1.12651,1.129
2016-08-26 00:00:00,1.12903,1.13409,1.11806,1.1195
2016-08-28 00:00:00,1.11777,1.12045,1.11773,1.12005
2016-08-29 00:00:00,1.12004,1.12076,1.11579,1.11724
2016-08-30 00:00:00,1.11724,1.11771,1.1132,1.11544
2016-08-31 00:00:00,1.11544,1.11658,1.1123,1.11555
2016-09-01 00:00:00,1.11556,1.1205,1.11276,1.12014
2016-09-02 00:00:00,1.12014,1.12521,1.11502,1.1153
2016-09-04 00:00:00,1.11559,1.1169,1.11526,1.11665
2016-09-05 00:00:00,1.11664,1.11821,1.11391,1.11544
2016-09-06 00:00:00,1.11543,1.1263,1.11449,1.12511
2016-09-07 00:00:00,1.12513,1.12712,1.12287,1.12499
2016-09-08 00:00:00,1.125,1.13269,1.12406,1.12751
2016-09-09 00:00:00,1.12751,1.1285,1.11984,1.123
2016-09-11 00:00:00,1.12344,1.12505,1.1229,1.12421
2016-09-12 00:00:00,1.12421,1.12679,1.12102,1.12334
2016-09-13 00:00:00,1.12331,1.12602,1.12037,1.12249
2016-09-14 00:00:00,1.12247,1.12739,1.12141,1.12433
2016-09-15 00:00:00,1.12437,1.12837,1.12189,1.12412
2016-09-16 00:00:00,1.12411,1.12429,1.11494,1.11543
2016-09-18 00:00:00,1.11502,1.11725,1.11502,1.11671
2016-09-19 00:00:00,1.11672,1.11978,1.11506,1.11698
2016-09-20 00:00:00,1.117,1.12132,1.1146,1.11495
2016-09-21 00:00:00,1.11497,1.12016,1.11229,1.11938
2016-09-22 00:00:00,1.11938,1.12572,1.11919,1.11977
2016-09-23 00:00:00,1.11977,1.12403,1.11953,1.12235
2016-09-25 00:00:00,1.12274,1.12415,1.1224,1.12293
2016-09-26 00:00:00,1.12293,1.1279,1.12211,1.12433
2016-09-27 00:00:00,1.12433,1.12586,1.1191,1.12116
2016-09-28 00:00:00,1.12115,1.12369,1.11817,1.1233
2016-09-29 00:00:00,1.1233,1.12496,1.11967,1.12169
2016-09-30 00:00:00,1.1217,1.12506,1.11532,1.1238
2016-10-02 00:00:00,1.12283,1.12432,1.12265,1.12338
2016-10-03 00:00:00,1.12337,1.12415,1.11974,1.11992
2016-10-04 00:00:00,1.1199,1.12388,1.1138,1.12215
2016-10-05 00:00:00,1.12217,1.12332,1.11896,1.12007
2016-10-06 00:00:00,1.1201,1.12092,1.111,1.11124
2016-10-07 00:00:00,1.11124,1.1205,1.11042,1.1199
2016-10-09 00:00:00,1.11772,1.12027,1.11772,1.11933
2016-10-10 00:00:00,1.11933,1.11951,1.11196,1.11316
2016-10-11 00:00:00,1.11315,1.11373,1.10412,1.10503
2016-10-12 00:00:00,1.10505,1.1061,1.10014,1.10229
2016-10-13 00:00:00,1.10228,1.10582,1.09852,1.1031
2016-10-14 00:00:00,1.1031,1.10321,1.09687,1.09688
2016-10-16 00:00:00,1.09665,1.09837,1.09637,1.09833
2016-10-17 00:00:00,1.09831,1.10261,1.09718,1.10204
