Datetime,Close,High,Low,Open,Volume
2024-05-15 23:00:00+00:00,1.0889687538146973,1.089680790901184,1.0884946584701538,1.0892059803009033,0
2024-05-16 03:00:00+00:00,1.088020920753479,1.0893245935440063,1.0877841711044312,1.0889687538146973,0
2024-05-16 07:00:00+00:00,1.0875475406646729,1.0884946584701538,1.08695650100708,1.088020920753479,0
2024-05-16 11:00:00+00:00,1.087311029434204,1.0876659154891968,1.085894227027893,1.0875475406646729,0
2024-05-16 15:00:00+00:00,1.087311029434204,1.087902545928955,1.0868383646011353,1.087311029434204,0
2024-05-16 19:00:00+00:00,1.0871928930282593,1.087311029434204,1.08672034740448,1.087311029434204,0
2024-05-16 23:00:00+00:00,1.0860122442245483,1.087074637413025,1.0857763290405273,1.087074637413025,0
2024-05-17 03:00:00+00:00,1.0864840745925903,1.08695650100708,1.085894227027893,1.0860122442245483,0
2024-05-17 07:00:00+00:00,1.0841283798217773,1.087074637413025,1.0838934183120728,1.08672034740448,0
2024-05-17 11:00:00+00:00,1.087902545928955,1.087902545928955,1.0838934183120728,1.0841283798217773,0
2024-05-17 15:00:00+00:00,1.087902545928955,1.088020920753479,1.08695650100708,1.087902545928955,0
2024-05-17 19:00:00+00:00,1.0871928930282593,1.087902545928955,1.0871928930282593,1.0877841711044312,0
2024-05-19 23:00:00+00:00,1.0876659154891968,1.087902545928955,1.0871928930282593,1.087311029434204,0
2024-05-20 03:00:00+00:00,1.0882576704025269,1.0887316465377808,1.0876659154891968,1.0877841711044312,0
2024-05-20 07:00:00+00:00,1.0874292850494385,1.0883761644363403,1.08695650100708,1.088020920753479,0
2024-05-20 11:00:00+00:00,1.0868383646011353,1.0874292850494385,1.0857763290405273,1.0874292850494385,0
2024-05-20 15:00:00+00:00,1.08672034740448,1.087311029434204,1.086130142211914,1.08672034740448,0
2024-05-20 19:00:00+00:00,1.086130142211914,1.0868383646011353,1.085894227027893,1.08672034740448,0
2024-05-20 23:00:00+00:00,1.085894227027893,1.0864840745925903,1.0854227542877197,1.0862481594085693,0
2024-05-21 03:00:00+00:00,1.0863661766052246,1.0866022109985352,1.0857763290405273,1.085894227027893,0
2024-05-21 07:00:00+00:00,1.08695650100708,1.0876659154891968,1.0862481594085693,1.0864840745925903,0
