timestamp,open,high,low,close,volume
2024-03-01 00:00:00,3340.1,3354.08,3338.54,3349.36,6103.9129
2024-03-01 00:15:00,3349.37,3380.0,3347.92,3369.49,6700.4679
2024-03-01 00:30:00,3369.5,3375.35,3351.24,3367.35,4245.9991
2024-03-01 00:45:00,3367.35,3379.89,3363.54,3378.73,4346.012
2024-03-01 01:00:00,3378.73,3379.69,3364.61,3370.0,4437.2187
2024-03-01 01:15:00,3370.01,3381.28,3367.17,3379.28,3592.6686
2024-03-01 01:30:00,3379.28,3388.44,3368.68,3384.91,7277.061
2024-03-01 01:45:00,3384.91,3388.82,3372.53,3375.2,4863.9915
2024-03-01 02:00:00,3375.2,3380.83,3360.99,3361.02,3594.1564
2024-03-01 02:15:00,3361.01,3368.35,3352.05,3365.18,3623.9461
2024-03-01 02:30:00,3365.18,3371.8,3360.02,3370.47,3167.3188
2024-03-01 02:45:00,3370.48,3370.59,3360.32,3366.73,2863.1143
2024-03-01 03:00:00,3366.73,3376.51,3362.99,3367.27,2649.3657
2024-03-01 03:15:00,3367.28,3367.81,3355.18,3358.58,2731.9721
2024-03-01 03:30:00,3358.58,3367.4,3356.8,3365.14,2546.4131
2024-03-01 03:45:00,3365.14,3377.59,3365.0,3367.79,3458.2854
2024-03-01 04:00:00,3367.78,3374.67,3365.59,3374.44,2188.3255
2024-03-01 04:15:00,3374.45,3382.43,3374.11,3379.11,3027.0748
2024-03-01 04:30:00,3379.12,3381.45,3366.82,3369.59,4956.5739
2024-03-01 04:45:00,3369.58,3378.23,3365.95,3376.87,3665.3989
2024-03-01 05:00:00,3376.87,3385.14,3372.65,3383.14,3881.4748
2024-03-01 05:15:00,3383.14,3386.65,3375.09,3375.61,2198.9595
2024-03-01 05:30:00,3375.61,3377.68,3371.24,3375.45,1794.0152
2024-03-01 05:45:00,3375.44,3379.82,3368.9,3368.9,3549.2637
2024-03-01 06:00:00,3368.91,3383.31,3368.52,3383.31,3495.2346
2024-03-01 06:15:00,3383.31,3399.0,3383.3,3397.45,5306.7508
2024-03-01 06:30:00,3397.45,3397.65,3382.58,3385.8,3186.0604
2024-03-01 06:45:00,3385.79,3392.0,3382.63,3387.26,3272.7241
2024-03-01 07:00:00,3387.26,3393.24,3386.01,3392.32,1654.1892
2024-03-01 07:15:00,3392.32,3396.01,3375.12,3375.75,4094.345
2024-03-01 07:30:00,3375.75,3378.71,3366.63,3369.65,4624.7736
2024-03-01 07:45:00,3369.65,3376.44,3364.32,3365.41,4528.8075
2024-03-01 08:00:00,3365.41,3370.94,3353.74,3365.64,5980.8496
2024-03-01 08:15:00,3365.63,3396.47,3365.36,3393.35,7815.6712
2024-03-01 08:30:00,3393.35,3437.08,3391.86,3434.62,26578.8179
2024-03-01 08:45:00,3434.62,3437.03,3414.93,3420.93,10966.4835
2024-03-01 09:00:00,3420.94,3431.17,3416.75,3420.94,5382.1108
2024-03-01 09:15:00,3420.95,3428.15,3418.61,3423.58,3751.2101
2024-03-01 09:30:00,3423.58,3428.93,3417.48,3425.29,3147.7525
2024-03-01 09:45:00,3425.29,3431.76,3422.77,3429.14,3094.2432
2024-03-01 10:00:00,3429.13,3429.14,3415.43,3416.08,2485.7101
2024-03-01 10:15:00,3416.07,3427.2,3414.0,3417.55,3679.112
2024-03-01 10:30:00,3417.55,3422.0,3407.0,3409.04,3448.5671
2024-03-01 10:45:00,3409.03,3411.06,3400.61,3406.04,3632.6059
2024-03-01 11:00:00,3406.04,3412.87,3404.57,3408.92,3164.9538
2024-03-01 11:15:00,3408.92,3410.93,3401.1,3406.3,2673.3327
2024-03-01 11:30:00,3406.3,3416.38,3398.61,3413.97,3472.8753
2024-03-01 11:45:00,3413.97,3418.32,3409.34,3410.9,2414.8558
2024-03-01 12:00:00,3410.89,3422.0,3410.26,3416.51,2342.1222
2024-03-01 12:15:00,3416.51,3427.0,3416.41,3421.37,2727.639
2024-03-01 12:30:00,3421.38,3435.8,3421.26,3432.94,4595.4307
2024-03-01 12:45:00,3432.95,3436.86,3420.75,3423.98,3869.2684
2024-03-01 13:00:00,3423.98,3435.97,3422.6,3434.98,2960.6468
2024-03-01 13:15:00,3434.99,3449.81,3433.05,3441.85,5559.0088
2024-03-01 13:30:00,3441.85,3445.58,3434.37,3437.83,3510.0102
2024-03-01 13:45:00,3437.82,3443.5,3434.42,3438.51,3108.2419
2024-03-01 14:00:00,3438.5,3440.74,3432.0,3438.35,3359.9531
2024-03-01 14:15:00,3438.35,3449.36,3436.46,3444.52,4410.2171
2024-03-01 14:30:00,3444.51,3449.41,3382.1,3414.99,20736.424
2024-03-01 14:45:00,3414.99,3417.19,3400.0,3415.85,6411.868
2024-03-01 15:00:00,3415.84,3428.28,3408.25,3415.41,7086.7744
2024-03-01 15:15:00,3415.42,3419.81,3403.47,3410.71,4396.4845
2024-03-01 15:30:00,3410.71,3414.55,3392.99,3402.97,6848.3336
2024-03-01 15:45:00,3402.96,3407.0,3379.6,3390.76,7890.7324
2024-03-01 16:00:00,3390.76,3400.67,3390.05,3397.02,5992.7048
2024-03-01 16:15:00,3397.02,3402.49,3380.06,3396.21,5086.6641
2024-03-01 16:30:00,3396.21,3396.9,3381.83,3392.39,5102.6736
2024-03-01 16:45:00,3392.38,3396.54,3387.19,3387.19,4494.2421
2024-03-01 17:00:00,3387.19,3403.69,3387.19,3401.55,3432.0474
2024-03-01 17:15:00,3401.56,3419.93,3401.03,3411.87,6824.4432
2024-03-01 17:30:00,3411.87,3423.54,3411.04,3423.54,4209.0182
2024-03-01 17:45:00,3423.54,3425.45,3416.38,3419.39,2744.4052
2024-03-01 18:00:00,3419.38,3421.46,3410.19,3417.33,3693.983
2024-03-01 18:15:00,3417.34,3428.21,3412.64,3427.99,3369.0319
2024-03-01 18:30:00,3427.99,3432.99,3421.81,3430.3,4087.1399
2024-03-01 18:45:00,3430.31,3433.91,3426.09,3431.69,3746.9199
2024-03-01 19:00:00,3431.69,3435.9,3421.0,3426.55,3670.3696
2024-03-01 19:15:00,3426.54,3430.29,3420.75,3422.94,2403.4053
